"","chromosome","start","stop","driver_line","X5","X6","gene"
"1","chr2L",9410,10052,"VT00002",50,".",NA
"2","chr2L",11245,11850,"VT00003",50,".",NA
"3","chr2L",11470,11886,"R27B07",1000,"-","l(2)gl"
"4","chr2L",12730,13724,"VT00004",50,".",NA
"5","chr2L",12862,13573,"R27C07",1000,"-",NA
"6","chr2L",15507,17836,"VT00005",50,".",NA
"7","chr2L",15679,17169,"R27F03",1000,"-",NA
"8","chr2L",16836,18924,"VT00006",50,".",NA
"9","chr2L",17062,18384,"R27E04",1000,"-",NA
"10","chr2L",18031,20238,"VT00007",50,".",NA
"11","chr2L",18453,19917,"R27E12",1000,"-",NA
"12","chr2L",19241,21468,"VT00008",50,".",NA
"13","chr2L",19891,21285,"R27E07",1000,"-","l(2)gl"
"14","chr2L",21327,21958,"VT00009",50,".",NA
"15","chr2L",22647,23043,"VT00010",50,".",NA
"16","chr2L",23791,24839,"VT00011",50,".",NA
"17","chr2L",26520,27246,"VT00013",50,".",NA
"18","chr2L",33156,33884,"VT00015",50,".",NA
"19","chr2L",34214,34809,"VT00016",50,".",NA
"20","chr2L",35138,35800,"VT00017",50,".",NA
"21","chr2L",37992,39407,"VT00018",50,".",NA
"22","chr2L",39832,41927,"VT00019",50,".",NA
"23","chr2L",41208,43332,"VT00020",50,".",NA
"24","chr2L",42658,44732,"VT00021",50,".",NA
"25","chr2L",44054,46142,"VT00022",50,".",NA
"26","chr2L",54047,56104,"VT00025",50,".",NA
"27","chr2L",84249,87098,"R12F05",1000,"-","net"
"28","chr2L",87702,91147,"R13B04",1000,"-","net"
"29","chr2L",89849,92475,"R12E06",1000,"-",NA
"30","chr2L",91125,93575,"R12D11",1000,"-","net"
"31","chr2L",106754,107796,"R16A03",1000,"+",NA
"32","chr2L",108784,109639,"R15H10",1000,"+","Sam-S"
"33","chr2L",109761,110447,"R15H04",1000,"+",NA
"34","chr2L",111068,111948,"R15H11",1000,"+",NA
"35","chr2L",111984,112717,"R15H05",1000,"+",NA
